COMMAND,GID,PWD,TTY,UID,USER,"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",euid,eventtype,from,home,host,index,linecount,name,punct,rhost,shell,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos,tty,uid,user
,,,,,,"2026-03-04T02:57:21.420272+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session closed for user root","2026-03-04T02:57:21.420+0000",2,4,57,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:57:21.178294+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by testuser(uid=0)","2026-03-04T02:57:21.178+0000",2,4,57,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
"/usr/bin/apt",,"/root","pts/3",,root,"2026-03-04T02:57:21.177868+00:00 ip-172-31-88-245 sudo:     root : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/usr/bin/apt install netcat","2026-03-04T02:57:21.177+0000",2,4,57,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:______:_=/_;_=/_;_=_;_=///__",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:56:51.953107+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session closed for user root","2026-03-04T02:56:51.953+0000",2,4,56,march,51,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:56:34.108198+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by testuser(uid=0)","2026-03-04T02:56:34.108+0000",2,4,56,march,34,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
"/usr/bin/nano",,"/root","pts/3",,root,"2026-03-04T02:56:34.107802+00:00 ip-172-31-88-245 sudo:     root : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/usr/bin/nano /etc/passwd","2026-03-04T02:56:34.107+0000",2,4,56,march,34,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:______:_=/_;_=/_;_=_;_=///_//",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.068232+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session closed for user root","2026-03-04T02:55:43.068+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.051978+00:00 ip-172-31-88-245 usermod[5269]: add 'backup_admin' to shadow group 'sudo'","2026-03-04T02:55:43.051+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__''____''",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.051896+00:00 ip-172-31-88-245 usermod[5269]: add 'backup_admin' to group 'sudo'","2026-03-04T02:55:43.051+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__''___''",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.035758+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by testuser(uid=0)","2026-03-04T02:55:43.035+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
"/usr/sbin/usermod",,"/root","pts/3",,root,"2026-03-04T02:55:43.035456+00:00 ip-172-31-88-245 sudo:     root : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/usermod -aG sudo backup_admin","2026-03-04T02:55:43.035+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:______:_=/_;_=/_;_=_;_=///_-__",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.030733+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session closed for user root","2026-03-04T02:55:43.030+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:43.028121+00:00 ip-172-31-88-245 gpasswd[5261]: members of group users set by root to testuser,backupadmin,backup_admin","2026-03-04T02:55:43.028+0000",2,4,55,march,43,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_________,,",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:41.407700+00:00 ip-172-31-88-245 chfn[5253]: changed user 'backup_admin' information","2026-03-04T02:55:41.407+0000",2,4,55,march,41,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:___''_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:39.312666+00:00 ip-172-31-88-245 passwd[5252]: pam_unix(passwd:chauthtok): password changed for backup_admin","2026-03-04T02:55:39.312+0000",2,4,55,march,39,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,1004,,,1004,,"2026-03-04T02:55:30.592030+00:00 ip-172-31-88-245 useradd[5239]: new user: name=backup_admin, UID=1004, GID=1004, home=/home/backup_admin, shell=/bin/bash, from=/dev/pts/4","2026-03-04T02:55:30.592+0000",2,4,55,march,30,wednesday,2026,0,,,"/dev/pts/4","/home/backup_admin","victim-machine","victim-machine-logs",1,"backup_admin","--::.+:_----_[]:__:_=,_=,_=,_=//,_=//,_=///",,"/bin/bash","/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,1004,,,,,"2026-03-04T02:55:30.566876+00:00 ip-172-31-88-245 groupadd[5232]: new group: name=backup_admin, GID=1004","2026-03-04T02:55:30.566+0000",2,4,55,march,30,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,"backup_admin","--::.+:_----_[]:__:_=,_=",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:30.565716+00:00 ip-172-31-88-245 groupadd[5232]: group added to /etc/gshadow: name=backup_admin","2026-03-04T02:55:30.565+0000",2,4,55,march,30,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,"backup_admin","--::.+:_----_[]:____//:_=",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,1004,,,,,"2026-03-04T02:55:30.559168+00:00 ip-172-31-88-245 groupadd[5232]: group added to /etc/group: name=backup_admin, GID=1004","2026-03-04T02:55:30.559+0000",2,4,55,march,30,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,"backup_admin","--::.+:_----_[]:____//:_=,_=",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:30.510223+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by testuser(uid=0)","2026-03-04T02:55:30.510+0000",2,4,55,march,30,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
"/usr/sbin/adduser",,"/root","pts/3",,root,"2026-03-04T02:55:30.506756+00:00 ip-172-31-88-245 sudo:     root : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/usr/sbin/adduser backup_admin","2026-03-04T02:55:30.506+0000",2,4,55,march,30,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:______:_=/_;_=/_;_=_;_=///_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:01.619988+00:00 ip-172-31-88-245 CRON[5220]: pam_unix(cron:session): session closed for user root","2026-03-04T02:55:01.619+0000",2,4,55,march,1,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:55:01.617690+00:00 ip-172-31-88-245 CRON[5220]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)","2026-03-04T02:55:01.617+0000",2,4,55,march,1,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
,,,,,,"2026-03-04T02:54:50.179804+00:00 ip-172-31-88-245 su[5208]: pam_unix(su-l:session): session opened for user root(uid=0) by testuser(uid=0)","2026-03-04T02:54:50.179+0000",2,4,54,march,50,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(-:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
,,,,,,"2026-03-04T02:54:50.179643+00:00 ip-172-31-88-245 su[5208]: (to root) root on pts/3","2026-03-04T02:54:50.179+0000",2,4,54,march,50,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(_)___/",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:54:50.176858+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session opened for user root(uid=0) by testuser(uid=1001)","2026-03-04T02:54:50.176+0000",2,4,54,march,50,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
"/usr/bin/su",,"/home/testuser","pts/2",,root,"2026-03-04T02:54:50.176518+00:00 ip-172-31-88-245 sudo: testuser : TTY=pts/2 ; PWD=/home/testuser ; USER=root ; COMMAND=/usr/bin/su -","2026-03-04T02:54:50.176+0000",2,4,54,march,50,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:__:_=/_;_=//_;_=_;_=///_-",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:53:21.220239+00:00 ip-172-31-88-245 (systemd): pam_unix(systemd-user:session): session opened for user testuser(uid=1001) by testuser(uid=0)","2026-03-04T02:53:21.220+0000",2,4,53,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_():_(-:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,1001,
,,,,,,"2026-03-04T02:53:21.202083+00:00 ip-172-31-88-245 systemd-logind[713]: New session 58 of user testuser.","2026-03-04T02:53:21.202+0000",2,4,53,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_-[]:______.",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:53:21.197211+00:00 ip-172-31-88-245 sshd[5122]: pam_unix(sshd:session): session opened for user testuser(uid=1001) by testuser(uid=0)","2026-03-04T02:53:21.197+0000",2,4,53,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,1001,
,,,,,,"2026-03-04T02:53:21.195971+00:00 ip-172-31-88-245 sshd[5122]: Accepted password for testuser from 35.150.52.148 port 64784 ssh2","2026-03-04T02:53:21.195+0000",2,4,53,march,21,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:______...___",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:53:16.114242+00:00 ip-172-31-88-245 sshd[3502]: exited MaxStartups throttling after 00:05:15, 3 connections dropped","2026-03-04T02:53:16.114+0000",2,4,53,march,16,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____::,___",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:24.356117+00:00 ip-172-31-88-245 (sd-pam): pam_unix(systemd-user:session): session closed for user testuser","2026-03-04T02:48:24.356+0000",2,4,48,march,24,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_(-):_(-:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.349094+00:00 ip-172-31-88-245 sshd[5018]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.349+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.349032+00:00 ip-172-31-88-245 sshd[5018]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.349+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.348812+00:00 ip-172-31-88-245 sshd[5018]: Connection closed by authenticating user testuser 35.150.52.148 port 63890 [preauth]","2026-03-04T02:48:15.348+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.347213+00:00 ip-172-31-88-245 sshd[5019]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.347+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.347195+00:00 ip-172-31-88-245 sshd[5019]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.347+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.347182+00:00 ip-172-31-88-245 sshd[5016]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.347+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.347168+00:00 ip-172-31-88-245 sshd[5016]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.347+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.347138+00:00 ip-172-31-88-245 sshd[5016]: Connection closed by authenticating user testuser 35.150.52.148 port 64820 [preauth]","2026-03-04T02:48:15.347+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.346272+00:00 ip-172-31-88-245 sshd[5013]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.346+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.346260+00:00 ip-172-31-88-245 sshd[5013]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.346+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.346241+00:00 ip-172-31-88-245 sshd[5019]: Connection closed by authenticating user testuser 35.150.52.148 port 63967 [preauth]","2026-03-04T02:48:15.346+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.346223+00:00 ip-172-31-88-245 sshd[5010]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.346+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.346197+00:00 ip-172-31-88-245 sshd[5010]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.346+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.345620+00:00 ip-172-31-88-245 sshd[5013]: Connection closed by authenticating user testuser 35.150.52.148 port 63564 [preauth]","2026-03-04T02:48:15.345+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.345361+00:00 ip-172-31-88-245 sshd[5010]: Connection closed by authenticating user testuser 35.150.52.148 port 64347 [preauth]","2026-03-04T02:48:15.345+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.345156+00:00 ip-172-31-88-245 sshd[5014]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.345+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.345118+00:00 ip-172-31-88-245 sshd[5014]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.345+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.345068+00:00 ip-172-31-88-245 sshd[5014]: Connection closed by authenticating user testuser 35.150.52.148 port 64979 [preauth]","2026-03-04T02:48:15.345+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.344583+00:00 ip-172-31-88-245 sshd[5021]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.344+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.344570+00:00 ip-172-31-88-245 sshd[5021]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.344+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.344548+00:00 ip-172-31-88-245 sshd[5021]: Connection closed by authenticating user testuser 35.150.52.148 port 64987 [preauth]","2026-03-04T02:48:15.344+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.344517+00:00 ip-172-31-88-245 sshd[5009]: PAM service(sshd) ignoring max retries; 5 > 3","2026-03-04T02:48:15.344+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:__()___;__>_",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T02:48:15.343880+00:00 ip-172-31-88-245 sshd[5009]: PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=35.150.52.148  user=testuser","2026-03-04T02:48:15.343+0000",2,4,48,march,15,wednesday,2026,0,0,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____;_=_=_=_=_=_=...__=","35.150.52.148",,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,ssh,0,testuser
,,,,,,"2026-03-04T02:48:15.343809+00:00 ip-172-31-88-245 sshd[5009]: Connection closed by authenticating user testuser 35.150.52.148 port 64795 [preauth]","2026-03-04T02:48:15.343+0000",2,4,48,march,15,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_______...___[]",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
